PostDate,Industry,CountIdIndexed
14-04-2020,Construction,0.5817
14-04-2020,Energy,0.4773
14-04-2020,Entertainment,0.4273
14-04-2020,Financial Services,0.6645
14-04-2020,Healthcare,0.6314
14-04-2020,Hospitality,0.1863
14-04-2020,Insurance,0.6005
14-04-2020,Manufacturing,0.5477
14-04-2020,Mining,0.5093
14-04-2020,Real Estate,0.579
14-04-2020,Retail,0.5353
14-04-2020,Services,0.6433
14-04-2020,Transportation,0.6797
14-04-2020,Wholesale,0.6291
15-04-2020,Unknown,0.5662
15-04-2020,Communication,0.4212
15-04-2020,Construction,0.5856
15-04-2020,Energy,0.4786
15-04-2020,Entertainment,0.3885
15-04-2020,Financial Services,0.6569
15-04-2020,Healthcare,0.607
15-04-2020,Hospitality,0.1813
15-04-2020,Insurance,0.609
15-04-2020,Manufacturing,0.5497
15-04-2020,Mining,0.5384
15-04-2020,Real Estate,0.5696
15-04-2020,Retail,0.5184
15-04-2020,Services,0.6406
15-04-2020,Transportation,0.687
15-04-2020,Wholesale,0.6264
16-04-2020,Unknown,0.572
16-04-2020,Communication,0.4786
16-04-2020,Construction,0.5874
16-04-2020,Energy,0.459
16-04-2020,Entertainment,0.3629
16-04-2020,Financial Services,0.6613
16-04-2020,Healthcare,0.5869
16-04-2020,Hospitality,0.179
16-04-2020,Insurance,0.623
16-04-2020,Manufacturing,0.4826
16-04-2020,Mining,0.4543
16-04-2020,Real Estate,0.556
16-04-2020,Retail,0.5189
16-04-2020,Services,0.6406
16-04-2020,Transportation,0.6508
16-04-2020,Wholesale,0.6294
17-04-2020,Unknown,0.5775
17-04-2020,Communication,0.5088
17-04-2020,Construction,0.5903
17-04-2020,Energy,0.4661
17-04-2020,Entertainment,0.3563
17-04-2020,Financial Services,0.6258
17-04-2020,Healthcare,0.5785
17-04-2020,Hospitality,0.172
17-04-2020,Insurance,0.6352
17-04-2020,Manufacturing,0.4721
17-04-2020,Mining,0.4408
17-04-2020,Real Estate,0.5434
17-04-2020,Retail,0.5284
17-04-2020,Services,0.6477
17-04-2020,Transportation,0.6534
17-04-2020,Wholesale,0.618
18-04-2020,Unknown,0.6054
18-04-2020,Communication,0.5202
